Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,79,4,Some Random Commen with Id 0
1,0,0,79,4,Some Random Commen with Id 1
2,0,0,88,7,Some Random Commen with Id 2
3,0,0,197,7,Some Random Commen with Id 3
4,0,0,91,0,Some Random Commen with Id 4
5,0,0,159,1,Some Random Commen with Id 5
6,0,0,68,8,Some Random Commen with Id 6
7,0,0,90,2,Some Random Commen with Id 7
8,1,1,173,3,Some Random Commen with Id 8
9,1,1,132,2,Some Random Commen with Id 9
10,1,1,37,4,Some Random Commen with Id 10
11,1,1,171,3,Some Random Commen with Id 11
12,1,1,34,0,Some Random Commen with Id 12
13,1,1,61,9,Some Random Commen with Id 13
14,1,1,58,3,Some Random Commen with Id 14
15,1,1,2,6,Some Random Commen with Id 15
16,1,1,83,8,Some Random Commen with Id 16
17,2,9,38,0,Some Random Commen with Id 17
18,2,9,120,0,Some Random Commen with Id 18
19,2,9,7,4,Some Random Commen with Id 19
20,2,9,178,4,Some Random Commen with Id 20
21,2,9,97,5,Some Random Commen with Id 21
22,3,8,198,5,Some Random Commen with Id 22
23,3,8,105,3,Some Random Commen with Id 23
24,3,8,52,0,Some Random Commen with Id 24
25,4,2,91,8,Some Random Commen with Id 25
26,4,2,153,0,Some Random Commen with Id 26
27,4,2,19,9,Some Random Commen with Id 27
28,4,2,37,3,Some Random Commen with Id 28
29,4,2,59,1,Some Random Commen with Id 29
30,4,2,74,1,Some Random Commen with Id 30
31,4,2,188,0,Some Random Commen with Id 31
32,4,2,5,0,Some Random Commen with Id 32
33,4,2,4,0,Some Random Commen with Id 33
34,5,4,54,5,Some Random Commen with Id 34
35,5,4,90,1,Some Random Commen with Id 35
36,5,4,150,4,Some Random Commen with Id 36
37,5,4,123,1,Some Random Commen with Id 37
38,5,4,98,1,Some Random Commen with Id 38
39,5,4,47,0,Some Random Commen with Id 39
40,6,1,116,3,Some Random Commen with Id 40
41,6,1,29,5,Some Random Commen with Id 41
42,6,1,195,5,Some Random Commen with Id 42
43,6,1,196,9,Some Random Commen with Id 43
44,6,1,157,2,Some Random Commen with Id 44
45,6,1,195,5,Some Random Commen with Id 45
46,6,1,23,7,Some Random Commen with Id 46
47,7,4,128,1,Some Random Commen with Id 47
48,7,4,69,9,Some Random Commen with Id 48
49,7,4,67,2,Some Random Commen with Id 49
50,7,4,185,4,Some Random Commen with Id 50
51,7,4,23,3,Some Random Commen with Id 51
52,9,0,9,5,Some Random Commen with Id 52
53,9,0,193,4,Some Random Commen with Id 53
54,9,0,75,1,Some Random Commen with Id 54
55,9,0,81,9,Some Random Commen with Id 55
56,9,0,41,8,Some Random Commen with Id 56
57,9,0,76,2,Some Random Commen with Id 57
58,9,0,80,4,Some Random Commen with Id 58
59,10,5,110,7,Some Random Commen with Id 59
60,10,5,64,0,Some Random Commen with Id 60
61,10,5,146,8,Some Random Commen with Id 61
62,10,5,61,0,Some Random Commen with Id 62
63,10,5,114,2,Some Random Commen with Id 63
64,10,5,50,4,Some Random Commen with Id 64
65,10,5,20,6,Some Random Commen with Id 65
66,10,5,28,9,Some Random Commen with Id 66
67,11,6,141,2,Some Random Commen with Id 67
68,11,6,184,3,Some Random Commen with Id 68
69,11,6,26,6,Some Random Commen with Id 69
70,11,6,79,9,Some Random Commen with Id 70
71,11,6,194,1,Some Random Commen with Id 71
72,11,6,157,9,Some Random Commen with Id 72
73,11,6,15,8,Some Random Commen with Id 73
74,11,6,12,6,Some Random Commen with Id 74
75,12,7,162,5,Some Random Commen with Id 75
76,12,7,45,0,Some Random Commen with Id 76
77,12,7,141,4,Some Random Commen with Id 77
78,12,7,189,6,Some Random Commen with Id 78
79,12,7,71,1,Some Random Commen with Id 79
80,13,0,149,3,Some Random Commen with Id 80
81,13,0,188,9,Some Random Commen with Id 81
82,14,8,90,4,Some Random Commen with Id 82
83,14,8,25,8,Some Random Commen with Id 83
84,14,8,4,2,Some Random Commen with Id 84
85,14,8,159,9,Some Random Commen with Id 85
86,14,8,5,9,Some Random Commen with Id 86
87,15,9,63,6,Some Random Commen with Id 87
88,15,9,31,3,Some Random Commen with Id 88
89,15,9,55,9,Some Random Commen with Id 89
90,15,9,175,7,Some Random Commen with Id 90
91,15,9,159,7,Some Random Commen with Id 91
92,15,9,58,3,Some Random Commen with Id 92
93,15,9,2,6,Some Random Commen with Id 93
94,15,9,109,2,Some Random Commen with Id 94
95,16,8,196,0,Some Random Commen with Id 95
96,17,5,164,9,Some Random Commen with Id 96
97,17,5,166,3,Some Random Commen with Id 97
98,17,5,171,9,Some Random Commen with Id 98
99,17,5,24,0,Some Random Commen with Id 99
100,18,5,141,7,Some Random Commen with Id 100
101,18,5,62,4,Some Random Commen with Id 101
102,18,5,5,9,Some Random Commen with Id 102
103,18,5,148,1,Some Random Commen with Id 103
104,18,5,98,5,Some Random Commen with Id 104
105,18,5,87,7,Some Random Commen with Id 105
106,18,5,136,0,Some Random Commen with Id 106
107,18,5,199,8,Some Random Commen with Id 107
108,18,5,50,7,Some Random Commen with Id 108
109,19,4,159,1,Some Random Commen with Id 109
110,19,4,43,0,Some Random Commen with Id 110
111,19,4,68,9,Some Random Commen with Id 111
112,19,4,75,2,Some Random Commen with Id 112
113,19,4,3,2,Some Random Commen with Id 113
114,19,4,21,0,Some Random Commen with Id 114
115,19,4,137,9,Some Random Commen with Id 115
116,20,5,37,1,Some Random Commen with Id 116
117,21,7,51,6,Some Random Commen with Id 117
118,21,7,156,1,Some Random Commen with Id 118
119,21,7,193,0,Some Random Commen with Id 119
120,21,7,18,0,Some Random Commen with Id 120
121,21,7,89,1,Some Random Commen with Id 121
122,21,7,184,8,Some Random Commen with Id 122
123,22,7,187,9,Some Random Commen with Id 123
124,22,7,25,8,Some Random Commen with Id 124
125,22,7,149,3,Some Random Commen with Id 125
126,22,7,106,8,Some Random Commen with Id 126
127,23,1,29,9,Some Random Commen with Id 127
128,23,1,187,3,Some Random Commen with Id 128
129,23,1,10,0,Some Random Commen with Id 129
130,23,1,173,0,Some Random Commen with Id 130
131,24,4,131,8,Some Random Commen with Id 131
132,24,4,56,0,Some Random Commen with Id 132
133,24,4,8,0,Some Random Commen with Id 133
134,24,4,171,1,Some Random Commen with Id 134
135,24,4,1,1,Some Random Commen with Id 135
136,25,2,48,6,Some Random Commen with Id 136
137,25,2,179,4,Some Random Commen with Id 137
138,25,2,75,4,Some Random Commen with Id 138
139,25,2,138,0,Some Random Commen with Id 139
140,25,2,66,4,Some Random Commen with Id 140
141,25,2,134,8,Some Random Commen with Id 141
142,25,2,24,5,Some Random Commen with Id 142
143,25,2,40,5,Some Random Commen with Id 143
144,25,2,17,7,Some Random Commen with Id 144
145,26,7,34,9,Some Random Commen with Id 145
146,26,7,9,4,Some Random Commen with Id 146
147,26,7,77,0,Some Random Commen with Id 147
148,26,7,180,0,Some Random Commen with Id 148
149,26,7,19,0,Some Random Commen with Id 149
150,26,7,91,3,Some Random Commen with Id 150
151,26,7,108,9,Some Random Commen with Id 151
152,26,7,172,7,Some Random Commen with Id 152
153,28,2,85,6,Some Random Commen with Id 153
154,28,2,63,0,Some Random Commen with Id 154
155,28,2,152,2,Some Random Commen with Id 155
156,28,2,4,4,Some Random Commen with Id 156
157,28,2,199,6,Some Random Commen with Id 157
158,28,2,162,2,Some Random Commen with Id 158
159,29,9,104,3,Some Random Commen with Id 159
160,29,9,30,7,Some Random Commen with Id 160
161,29,9,56,2,Some Random Commen with Id 161
162,29,9,33,4,Some Random Commen with Id 162
163,29,9,11,7,Some Random Commen with Id 163
164,29,9,22,9,Some Random Commen with Id 164
165,30,1,143,2,Some Random Commen with Id 165
166,30,1,2,4,Some Random Commen with Id 166
167,30,1,93,7,Some Random Commen with Id 167
168,31,8,109,0,Some Random Commen with Id 168
169,31,8,64,8,Some Random Commen with Id 169
170,31,8,37,9,Some Random Commen with Id 170
171,31,8,58,5,Some Random Commen with Id 171
172,31,8,12,4,Some Random Commen with Id 172
173,31,8,58,0,Some Random Commen with Id 173
174,31,8,135,1,Some Random Commen with Id 174
175,32,6,175,2,Some Random Commen with Id 175
176,33,4,64,2,Some Random Commen with Id 176
177,33,4,30,3,Some Random Commen with Id 177
178,33,4,157,3,Some Random Commen with Id 178
179,33,4,194,7,Some Random Commen with Id 179
180,33,4,167,9,Some Random Commen with Id 180
181,33,4,189,7,Some Random Commen with Id 181
182,33,4,53,2,Some Random Commen with Id 182
183,33,4,59,6,Some Random Commen with Id 183
184,33,4,172,2,Some Random Commen with Id 184
185,34,0,103,7,Some Random Commen with Id 185
186,34,0,114,0,Some Random Commen with Id 186
187,34,0,195,8,Some Random Commen with Id 187
188,34,0,15,3,Some Random Commen with Id 188
189,34,0,1,2,Some Random Commen with Id 189
190,35,0,71,8,Some Random Commen with Id 190
191,35,0,22,4,Some Random Commen with Id 191
192,35,0,192,2,Some Random Commen with Id 192
193,35,0,123,5,Some Random Commen with Id 193
194,36,4,177,0,Some Random Commen with Id 194
195,36,4,106,5,Some Random Commen with Id 195
196,36,4,174,2,Some Random Commen with Id 196
197,36,4,179,1,Some Random Commen with Id 197
198,36,4,52,3,Some Random Commen with Id 198
199,36,4,82,7,Some Random Commen with Id 199
200,36,4,149,1,Some Random Commen with Id 200
201,36,4,62,8,Some Random Commen with Id 201
202,37,7,139,2,Some Random Commen with Id 202
203,37,7,21,5,Some Random Commen with Id 203
204,37,7,62,6,Some Random Commen with Id 204
