Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,194,9,Some Random Commen with Id 0
1,0,2,12,0,Some Random Commen with Id 1
2,0,2,52,2,Some Random Commen with Id 2
3,0,2,164,8,Some Random Commen with Id 3
4,0,2,181,6,Some Random Commen with Id 4
5,1,6,75,1,Some Random Commen with Id 5
6,1,6,181,7,Some Random Commen with Id 6
7,1,6,36,4,Some Random Commen with Id 7
8,1,6,193,9,Some Random Commen with Id 8
9,1,6,79,7,Some Random Commen with Id 9
10,1,6,37,0,Some Random Commen with Id 10
11,1,6,109,0,Some Random Commen with Id 11
12,1,6,76,3,Some Random Commen with Id 12
13,2,4,88,7,Some Random Commen with Id 13
14,2,4,101,1,Some Random Commen with Id 14
15,2,4,148,5,Some Random Commen with Id 15
16,3,9,139,4,Some Random Commen with Id 16
17,5,3,70,2,Some Random Commen with Id 17
18,5,3,78,0,Some Random Commen with Id 18
19,5,3,94,7,Some Random Commen with Id 19
20,5,3,127,3,Some Random Commen with Id 20
21,5,3,53,5,Some Random Commen with Id 21
22,6,0,21,5,Some Random Commen with Id 22
23,6,0,182,7,Some Random Commen with Id 23
24,6,0,71,4,Some Random Commen with Id 24
25,6,0,52,7,Some Random Commen with Id 25
26,6,0,119,8,Some Random Commen with Id 26
27,6,0,40,7,Some Random Commen with Id 27
28,6,0,17,6,Some Random Commen with Id 28
29,6,0,120,8,Some Random Commen with Id 29
30,6,0,165,1,Some Random Commen with Id 30
31,7,6,38,8,Some Random Commen with Id 31
32,7,6,141,8,Some Random Commen with Id 32
33,7,6,129,5,Some Random Commen with Id 33
34,7,6,187,9,Some Random Commen with Id 34
35,7,6,17,1,Some Random Commen with Id 35
36,8,1,31,9,Some Random Commen with Id 36
37,8,1,39,4,Some Random Commen with Id 37
38,8,1,70,1,Some Random Commen with Id 38
39,8,1,40,2,Some Random Commen with Id 39
40,8,1,109,3,Some Random Commen with Id 40
41,8,1,165,6,Some Random Commen with Id 41
42,8,1,197,1,Some Random Commen with Id 42
43,8,1,93,0,Some Random Commen with Id 43
44,9,2,163,9,Some Random Commen with Id 44
45,9,2,159,9,Some Random Commen with Id 45
46,9,2,55,3,Some Random Commen with Id 46
47,9,2,186,0,Some Random Commen with Id 47
48,9,2,170,8,Some Random Commen with Id 48
49,9,2,54,8,Some Random Commen with Id 49
50,10,6,47,5,Some Random Commen with Id 50
51,10,6,164,9,Some Random Commen with Id 51
52,11,3,135,5,Some Random Commen with Id 52
53,11,3,169,9,Some Random Commen with Id 53
54,11,3,38,1,Some Random Commen with Id 54
55,11,3,53,7,Some Random Commen with Id 55
56,12,5,151,0,Some Random Commen with Id 56
57,12,5,111,9,Some Random Commen with Id 57
58,13,0,78,0,Some Random Commen with Id 58
59,13,0,155,5,Some Random Commen with Id 59
60,13,0,95,1,Some Random Commen with Id 60
61,13,0,97,3,Some Random Commen with Id 61
62,13,0,109,7,Some Random Commen with Id 62
63,13,0,18,6,Some Random Commen with Id 63
64,13,0,0,8,Some Random Commen with Id 64
65,13,0,146,5,Some Random Commen with Id 65
66,14,5,97,0,Some Random Commen with Id 66
67,14,5,168,1,Some Random Commen with Id 67
68,14,5,148,8,Some Random Commen with Id 68
69,14,5,99,7,Some Random Commen with Id 69
